Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection,Risco_Automacao_Label
Marketing Specialist,Energy,Medium,Singapore,Low,,UX/UI Design,101964.987492599,No,Decline,
UX Designer,Technology,Small,New York,Low,,Marketing,74766.23587532803,Yes,Growth,
Cybersecurity Analyst,Education,Large,Tokyo,Low,,Marketing,96197.54569166292,No,Stable,
Operations Manager,Technology,Small,Dubai,High,,Python,89411.30538181018,No,Growth,
Cybersecurity Analyst,Healthcare,Large,San Francisco,High,,JavaScript,135566.66058323265,Yes,Stable,
Data Scientist,Technology,Large,Berlin,Low,,Data Analysis,100933.9064753175,No,Decline,
Data Scientist,Manufacturing,Small,Toronto,High,,Data Analysis,87747.52341474428,Yes,Stable,
Operations Manager,Telecommunications,Large,London,Medium,,Data Analysis,59806.144814928906,No,Growth,
Operations Manager,Entertainment,Medium,Tokyo,Medium,,JavaScript,92422.93803699792,Yes,Growth,
Marketing Specialist,Education,Large,Dubai,Medium,,Python,106464.57756693644,No,Decline,
Operations Manager,Technology,Medium,Paris,Low,,JavaScript,88388.96216361554,No,Stable,
HR Manager,Technology,Medium,London,High,,Data Analysis,79886.87280125119,Yes,Stable,
Cybersecurity Analyst,Healthcare,Large,Berlin,Low,,Machine Learning,78548.26672307363,No,Stable,
Product Manager,Entertainment,Small,Singapore,High,,Project Management,100702.8287091064,No,Decline,
AI Researcher,Finance,Medium,Toronto,Medium,,Cybersecurity,105187.75878618314,Yes,Stable,
Operations Manager,Technology,Small,New York,Low,,JavaScript,117224.20230642238,No,Growth,
Sales Manager,Manufacturing,Medium,Berlin,High,,Python,70100.00213579283,Yes,Stable,
Data Scientist,Transportation,Large,Berlin,High,,Python,100519.55116835234,No,Decline,
HR Manager,Education,Large,Singapore,Medium,,Communication,87565.92091164265,Yes,Stable,
UX Designer,Technology,Medium,Sydney,Low,,Project Management,88155.31590733438,No,Stable,
AI Researcher,Manufacturing,Large,Singapore,Low,,UX/UI Design,98036.51708068005,No,Growth,
Product Manager,Manufacturing,Medium,Sydney,Low,,Marketing,98153.12507249897,No,Stable,
AI Researcher,Education,Large,Sydney,Medium,,Data Analysis,100575.36211583146,Yes,Growth,
Operations Manager,Finance,Small,Tokyo,Low,,UX/UI Design,68850.5761560838,Yes,Growth,
Marketing Specialist,Manufacturing,Large,Tokyo,Medium,,Communication,75003.77185667082,Yes,Decline,
Data Scientist,Transportation,Small,San Francisco,Medium,,Data Analysis,119717.36551035367,Yes,Growth,
Data Scientist,Manufacturing,Large,Dubai,Medium,,Project Management,85588.5506503832,No,Growth,
UX Designer,Manufacturing,Small,Dubai,High,,Communication,96120.28796035792,No,Decline,
Marketing Specialist,Manufacturing,Large,New York,Low,,Data Analysis,111093.32624086372,Yes,Growth,
Cybersecurity Analyst,Telecommunications,Small,Dubai,Low,,Project Management,99268.86144721638,Yes,Decline,
Software Engineer,Telecommunications,Medium,Tokyo,Medium,,Sales,100930.45261944078,Yes,Stable,
HR Manager,Finance,Medium,San Francisco,Medium,,UX/UI Design,107891.55358487512,No,Decline,
Data Scientist,Technology,Small,San Francisco,Low,,UX/UI Design,47666.72478206,Yes,Growth,
Sales Manager,Manufacturing,Large,Sydney,Medium,,Marketing,80200.99689678931,Yes,Decline,
Data Scientist,Entertainment,Small,Singapore,Low,,Project Management,99372.11592999184,No,Growth,
AI Researcher,Technology,Large,New York,High,,JavaScript,117752.88614115314,No,Stable,
Data Scientist,Finance,Medium,Sydney,Medium,,Sales,91321.91119311546,Yes,Decline,
Data Scientist,Retail,Large,Singapore,Low,,Machine Learning,73105.67076487809,No,Stable,
Software Engineer,Technology,Medium,Dubai,Medium,,Data Analysis,73638.27900778996,Yes,Growth,
Software Engineer,Technology,Large,Sydney,Low,,Sales,107677.22406906149,No,Growth,
Product Manager,Energy,Large,London,Low,,Project Management,85644.52835216226,Yes,Stable,
Cybersecurity Analyst,Healthcare,Large,Dubai,Medium,,Cybersecurity,89855.99908419327,Yes,Decline,
Sales Manager,Energy,Small,Singapore,High,,Data Analysis,102300.60387544638,Yes,Decline,
Data Scientist,Transportation,Small,New York,Low,,Python,31969.52634612842,Yes,Growth,
Data Scientist,Telecommunications,Medium,Singapore,Low,,UX/UI Design,130007.35023016162,No,Stable,
HR Manager,Telecommunications,Medium,Sydney,Low,,Project Management,75378.52329897878,No,Stable,
Software Engineer,Healthcare,Small,Sydney,High,,Python,94838.72738947145,No,Decline,
Sales Manager,Education,Medium,Berlin,High,,Marketing,55906.05973007458,No,Decline,
UX Designer,Education,Small,New York,Medium,,Communication,81549.17779189924,Yes,Decline,
Product Manager,Finance,Large,Paris,High,,Machine Learning,114893.76092730192,Yes,Stable,
Cybersecurity Analyst,Healthcare,Medium,Dubai,Medium,,Machine Learning,51676.65640668242,No,Decline,
Marketing Specialist,Technology,Medium,San Francisco,Medium,,Python,112524.00174378282,No,Decline,
Cybersecurity Analyst,Education,Small,New York,High,,UX/UI Design,84526.07807535231,No,Growth,
AI Researcher,Manufacturing,Medium,San Francisco,Medium,,Marketing,99743.28880440384,No,Decline,
Data Scientist,Entertainment,Medium,New York,High,,Cybersecurity,103150.4882697022,No,Decline,
Product Manager,Technology,Large,New York,Medium,,UX/UI Design,98828.42998981853,Yes,Stable,
AI Researcher,Transportation,Medium,Singapore,High,,Sales,72700.98696738348,Yes,Stable,
Sales Manager,Manufacturing,Large,New York,High,,Machine Learning,82709.01706929953,Yes,Growth,
Marketing Specialist,Manufacturing,Small,Berlin,Medium,,Sales,60768.876454983685,No,Decline,
Software Engineer,Healthcare,Medium,Paris,Low,,Data Analysis,99835.9266317616,No,Growth,
Product Manager,Finance,Large,Sydney,Medium,,JavaScript,124041.10308031851,No,Stable,
Product Manager,Transportation,Small,Toronto,High,,Project Management,53511.18226647075,No,Growth,
Data Scientist,Education,Medium,San Francisco,Low,,Marketing,74767.0818772393,Yes,Stable,
Operations Manager,Healthcare,Small,Sydney,Medium,,UX/UI Design,86364.49448234134,Yes,Growth,
Product Manager,Education,Medium,Toronto,Medium,,Machine Learning,93466.82847427108,No,Growth,
HR Manager,Healthcare,Small,Paris,Medium,,Sales,107583.52602868852,Yes,Decline,
Marketing Specialist,Healthcare,Small,Paris,Low,,Communication,86956.00039284666,Yes,Growth,
Marketing Specialist,Healthcare,Large,San Francisco,High,,Data Analysis,83680.825471087,No,Decline,
HR Manager,Finance,Small,San Francisco,Medium,,Project Management,112062.6141213948,No,Decline,
UX Designer,Healthcare,Medium,Paris,Medium,,Project Management,103239.91134126612,No,Decline,
HR Manager,Retail,Medium,Toronto,Medium,,UX/UI Design,100779.55951402197,No,Decline,
HR Manager,Entertainment,Large,New York,Medium,,Marketing,92250.31423176228,No,Growth,
Marketing Specialist,Education,Medium,Dubai,Medium,,Cybersecurity,109663.04421839718,No,Stable,
Cybersecurity Analyst,Technology,Medium,London,High,,Communication,76873.81217539468,Yes,Stable,
Marketing Specialist,Energy,Medium,Sydney,High,,UX/UI Design,74146.11435627844,Yes,Stable,
Operations Manager,Transportation,Small,Singapore,Medium,,Sales,104922.01973738648,No,Growth,
Data Scientist,Telecommunications,Small,Sydney,Low,,JavaScript,57499.28061506184,Yes,Decline,
AI Researcher,Finance,Medium,Singapore,High,,Python,91843.59019272974,No,Stable,
Cybersecurity Analyst,Technology,Large,Toronto,Low,,Cybersecurity,83668.83295474976,No,Growth,
Software Engineer,Manufacturing,Small,Singapore,High,,Marketing,61884.90538694088,No,Decline,
AI Researcher,Retail,Large,San Francisco,Medium,,Data Analysis,71374.64840567471,No,Stable,
Data Scientist,Telecommunications,Medium,Dubai,High,,Cybersecurity,87820.47815409301,Yes,Decline,
Operations Manager,Energy,Medium,Dubai,Medium,,Machine Learning,110679.26512998046,No,Stable,
Operations Manager,Technology,Small,San Francisco,High,,Marketing,76940.84017484378,Yes,Stable,
Software Engineer,Telecommunications,Medium,Berlin,Medium,,JavaScript,114267.62799809988,No,Stable,
Cybersecurity Analyst,Technology,Small,Toronto,Medium,,Machine Learning,91263.58455113032,No,Decline,
UX Designer,Retail,Medium,Berlin,Medium,,Cybersecurity,116207.69404339942,No,Growth,
HR Manager,Energy,Medium,Berlin,Medium,,Python,77910.16782439903,Yes,Decline,
Cybersecurity Analyst,Manufacturing,Small,Sydney,Low,,Python,89023.80823789263,No,Stable,
UX Designer,Healthcare,Small,Paris,Medium,,JavaScript,97369.6720667399,No,Decline,
Operations Manager,Education,Small,Sydney,Low,,Project Management,86409.79074516977,No,Growth,
Marketing Specialist,Manufacturing,Medium,Paris,Low,,Communication,109060.48294290472,Yes,Decline,
Data Scientist,Healthcare,Medium,London,Medium,,Data Analysis,45848.72549419468,Yes,Growth,
Software Engineer,Finance,Large,Singapore,Low,,Project Management,138448.1107757988,Yes,Growth,
Data Scientist,Entertainment,Small,Paris,High,,Python,107155.49213990325,No,Decline,
Sales Manager,Transportation,Medium,San Francisco,Medium,,Python,86529.36341929967,Yes,Stable,
Sales Manager,Transportation,Medium,Sydney,Low,,Sales,78953.56652845311,No,Growth,
Cybersecurity Analyst,Education,Small,Toronto,Medium,,Machine Learning,72671.58777102892,Yes,Decline,
Operations Manager,Energy,Large,Singapore,Medium,,Cybersecurity,102912.30948339474,Yes,Growth,
Operations Manager,Retail,Small,London,Medium,,Data Analysis,109899.63337584709,No,Stable,
HR Manager,Energy,Large,Paris,Low,,JavaScript,86749.477437402,Yes,Decline,
HR Manager,Retail,Medium,London,High,,Cybersecurity,112139.80825957004,No,Decline,
HR Manager,Energy,Large,Toronto,High,,Sales,71854.79906477756,No,Decline,
Marketing Specialist,Entertainment,Medium,Berlin,Low,,Python,68323.78300026328,Yes,Stable,
AI Researcher,Finance,Small,Dubai,Medium,,JavaScript,126266.82410491098,No,Growth,
Product Manager,Finance,Small,Toronto,Low,,Python,101822.17227077084,No,Decline,
AI Researcher,Healthcare,Small,Tokyo,Low,,Data Analysis,117936.96403626657,Yes,Growth,
Data Scientist,Telecommunications,Large,Toronto,Low,,Machine Learning,72921.20583224614,Yes,Growth,
AI Researcher,Finance,Medium,London,Medium,,Cybersecurity,71529.49216462541,No,Stable,
Marketing Specialist,Finance,Small,San Francisco,Low,,Cybersecurity,82827.81361084916,Yes,Decline,
Data Scientist,Manufacturing,Small,Sydney,Medium,,Project Management,73518.82316921977,No,Growth,
AI Researcher,Manufacturing,Medium,San Francisco,Low,,JavaScript,104107.30420456902,No,Decline,
Marketing Specialist,Healthcare,Small,London,High,,Communication,74977.47886147109,Yes,Decline,
Product Manager,Telecommunications,Medium,Sydney,Low,,Sales,66566.60283865419,Yes,Stable,
AI Researcher,Education,Medium,Tokyo,Low,,Communication,92840.30824510464,Yes,Decline,
Marketing Specialist,Manufacturing,Medium,Dubai,High,,Project Management,64200.27648349573,Yes,Decline,
HR Manager,Education,Medium,Singapore,Medium,,Data Analysis,54010.72137049221,No,Growth,
Operations Manager,Technology,Medium,London,Medium,,Sales,92665.14467722556,No,Stable,
HR Manager,Manufacturing,Large,Paris,Low,,Machine Learning,55015.5991397958,Yes,Decline,
Operations Manager,Entertainment,Small,London,High,,Communication,105505.58792590846,Yes,Growth,
Software Engineer,Telecommunications,Large,London,Medium,,Machine Learning,62093.32547494408,No,Stable,
Software Engineer,Healthcare,Small,Sydney,Low,,Communication,45186.52427160505,No,Stable,
Software Engineer,Technology,Large,New York,High,,Machine Learning,84124.06699718411,No,Growth,
Product Manager,Telecommunications,Medium,Toronto,Medium,,Communication,92891.89006592968,No,Growth,
HR Manager,Entertainment,Small,New York,Medium,,Machine Learning,99829.50127363882,Yes,Growth,
Operations Manager,Telecommunications,Small,Tokyo,High,,Project Management,93440.31398031706,No,Growth,
Marketing Specialist,Entertainment,Large,Paris,High,,Marketing,68813.74757764515,No,Growth,
Data Scientist,Entertainment,Large,Dubai,High,,Sales,104261.22361853208,Yes,Decline,
Marketing Specialist,Education,Small,Berlin,High,,JavaScript,109202.77012959492,No,Decline,
Data Scientist,Energy,Large,Tokyo,Low,,Data Analysis,65884.75743088922,No,Stable,
Sales Manager,Technology,Large,Berlin,High,,UX/UI Design,86379.87722680772,Yes,Decline,
Marketing Specialist,Telecommunications,Large,Berlin,Medium,,Python,84511.1994578196,Yes,Decline,
AI Researcher,Retail,Medium,Dubai,Medium,,JavaScript,94407.63165576068,Yes,Decline,
AI Researcher,Technology,Medium,San Francisco,Low,,Python,85901.52416451782,No,Growth,
Cybersecurity Analyst,Energy,Large,New York,Medium,,Sales,88642.44455854046,No,Stable,
HR Manager,Technology,Large,London,Medium,,JavaScript,102836.31060483382,Yes,Stable,
Data Scientist,Finance,Medium,Singapore,High,,Machine Learning,67722.93800797733,Yes,Stable,
Data Scientist,Retail,Medium,Berlin,Medium,,Machine Learning,104747.46270521649,No,Stable,
HR Manager,Energy,Small,Paris,Low,,UX/UI Design,112822.65463062502,Yes,Decline,
Product Manager,Education,Small,Tokyo,High,,Python,122682.69986977737,Yes,Decline,
Cybersecurity Analyst,Telecommunications,Medium,San Francisco,High,,Data Analysis,47132.65351725282,Yes,Growth,
Product Manager,Transportation,Large,Berlin,Low,,Sales,86341.96685769563,No,Stable,
Product Manager,Energy,Large,San Francisco,High,,Machine Learning,50697.98851292822,No,Decline,
Product Manager,Healthcare,Large,San Francisco,High,,Marketing,41298.72620454353,No,Decline,
HR Manager,Telecommunications,Large,Berlin,Low,,Project Management,92881.86095214955,No,Growth,
Product Manager,Energy,Small,Sydney,High,,Project Management,82016.96414299277,No,Growth,
AI Researcher,Finance,Medium,Toronto,Low,,Communication,95997.01903541492,No,Growth,
Software Engineer,Transportation,Large,Paris,Low,,Data Analysis,99722.55380174633,Yes,Decline,
Sales Manager,Finance,Small,London,Medium,,Project Management,114957.91916215842,No,Decline,
Data Scientist,Transportation,Large,London,Medium,,Communication,91078.4085061156,No,Growth,
Data Scientist,Healthcare,Medium,Paris,High,,Python,148467.11234638176,Yes,Stable,
Sales Manager,Telecommunications,Small,Sydney,High,,Machine Learning,96128.19709970424,No,Growth,
HR Manager,Education,Medium,London,Low,,Machine Learning,126849.58089134425,No,Growth,
Marketing Specialist,Finance,Medium,San Francisco,High,,Marketing,43343.24398951503,Yes,Growth,
HR Manager,Finance,Small,Dubai,Low,,JavaScript,116994.7905910125,Yes,Growth,
Data Scientist,Entertainment,Small,Tokyo,Low,,Project Management,86384.7902040888,Yes,Decline,
Data Scientist,Transportation,Small,New York,High,,Python,51033.05481145457,No,Stable,
Sales Manager,Manufacturing,Small,London,Low,,Cybersecurity,98410.9021845624,Yes,Growth,
Product Manager,Telecommunications,Small,Paris,Medium,,Project Management,83940.88924031366,No,Stable,
